Country,Clicks,Impressions,CTR,Position
United Kingdom,120,1349,8.9%,8.53
Netherlands,1,5,20%,3
Romania,1,3,33.33%,1.33
United States,0,31,0%,7.35
Denmark,0,6,0%,9.5
Poland,0,5,0%,6.8
Nigeria,0,4,0%,1
Portugal,0,4,0%,2.25
Bangladesh,0,3,0%,2
Philippines,0,3,0%,8.33
Brazil,0,2,0%,8
France,0,1,0%,1
Vietnam,0,1,0%,1
Ireland,0,1,0%,2
Canada,0,1,0%,4
Ukraine,0,1,0%,4
Germany,0,1,0%,5
Australia,0,1,0%,9
Georgia,0,1,0%,9
Morocco,0,1,0%,9
Finland,0,1,0%,11
India,0,1,0%,14
South Africa,0,1,0%,21
Russia,0,1,0%,22
Czechia,0,1,0%,26
Iraq,0,1,0%,26
Malaysia,0,1,0%,32
Ethiopia,0,1,0%,38
Honduras,0,1,0%,42
