Top pages,Clicks,Impressions,CTR,Position
https://donatheresa.com/,91,1410,6.45%,8.54
https://donatheresa.com/menu,19,235,8.09%,3.7
http://www.donatheresa.com/our-menus.html,10,351,2.85%,4.95
https://donatheresa.com/contact,4,122,3.28%,6.19
https://donatheresa.com/menu/december-christmas-menu,3,10,30%,3.7
https://donatheresa.com/reserve,2,186,1.08%,5.87
https://www.donatheresa.com/cookie-policy,1,16,6.25%,2.38
https://www.donatheresa.com/about,0,122,0%,7.79
https://www.donatheresa.com/menu/a-la-carte,0,7,0%,6.43
https://www.donatheresa.com/contact,0,3,0%,2.67
https://www.donatheresa.com/menu,0,3,0%,2.67
https://www.donatheresa.com/reserve,0,3,0%,2.67
https://donatheresa.com/menu/lunchtime-earlybird,0,2,0%,8
https://www.donatheresa.com/menu/lunchtime-earlybird,0,1,0%,6
