Top queries,Clicks,Impressions,CTR,Position
dona theresa,22,77,28.57%,1.27
dona theresa menu,14,46,30.43%,1.8
hatch end restaurants,7,165,4.24%,11.33
dona theresa hatch end,7,16,43.75%,1.19
donna teresa hatch end,6,21,28.57%,1.05
dona theresa restaurant,4,27,14.81%,1.67
donna theresa,4,23,17.39%,1.22
hatch end italian restaurants,4,11,36.36%,4.73
italian restaurant hatch end,3,36,8.33%,5.11
italian restaurant pinner,2,31,6.45%,8.55
dona teresa,2,21,9.52%,1.95
italian pinner,2,12,16.67%,5.17
dona theresa hatch end menu,2,9,22.22%,1.11
donna theresa hatch end,2,6,33.33%,1.17
dona theresa early bird menu,2,4,50%,2
restaurants in hatch end,1,35,2.86%,8.66
restaurants hatch end,1,21,4.76%,9.76
italian restaurants hatch end,1,17,5.88%,5.06
italian hatch end,1,15,6.67%,5.87
donna theresa restaurant hatch end,1,10,10%,1.2
italian restaurant in hatch end,1,8,12.5%,5.25
dona theresa restaurant photos,1,7,14.29%,3.29
hatchend restaurants,1,5,20%,11.6
italian restaurants in hatch end,1,4,25%,4.75
pinner italian restaurants,1,2,50%,3.5
pinner restaurants,0,59,0%,8.39
restaurants in pinner,0,35,0%,9.97
italian restaurant,0,13,0%,6.92
restaurants pinner,0,12,0%,8.42
hatch end italian,0,9,0%,5.56
restaurant pinner,0,9,0%,10.56
donna teresa,0,8,0%,3.62
pinner restaurant,0,8,0%,8.62
restaurants near me,0,8,0%,11.88
dona theresa pinner,0,7,0%,1.71
italian restaurants harrow,0,7,0%,6.57
restaurants near pinner,0,7,0%,6.71
places to eat pinner,0,6,0%,6.33
dona theresa reviews,0,6,0%,8.33
italian restaurant harrow,0,6,0%,9.33
italian restaurants near me,0,6,0%,9.33
best restaurants pinner,0,6,0%,12.83
dona theresa photos,0,5,0%,2.2
dona restaurant,0,5,0%,11
restaurant near me,0,5,0%,13.4
italian restaurant in pinner,0,4,0%,5.5
italian restaurants pinner,0,4,0%,5.75
places to eat in pinner,0,4,0%,7.75
best restaurants in hatch end,0,4,0%,10
hatch end restaurant,0,4,0%,10.75
italian restaurants in harrow,0,4,0%,14.75
dona theresa hatch end early bird menu,0,3,0%,1
italians near me,0,3,0%,3
places to eat near me,0,3,0%,13
italian restaurant in harrow,0,3,0%,13.33
italian produce near me,0,3,0%,67
restaurants in harrow,0,3,0%,68.33
italian restaurant near me,0,2,0%,4.5
hatch end restaurants italian,0,2,0%,5
italian restaurants in pinner,0,2,0%,5
restaurants in hatch end high street,0,2,0%,6
restaurant hatch end,0,2,0%,8.5
italian near me,0,2,0%,9
restaurant in hatch end,0,2,0%,11
restaurants in hatch end pinner,0,2,0%,11.5
food near me,0,2,0%,12.5
truffle pasta near me,0,2,0%,21
restaurants in pinner high street,0,2,0%,35
best restaurants in harrow,0,2,0%,64
restaurants harrow,0,2,0%,90.5
best italian restaurant,0,1,0%,1
best italian restaurant near me open now,0,1,0%,1
italian restaurant lunch menu,0,1,0%,1
best italian restaurant near me,0,1,0%,2
dona tere menu,0,1,0%,2
italian watford high street,0,1,0%,2
teresa restaurant,0,1,0%,2
casa mia,0,1,0%,3
restaurants hatchend,0,1,0%,3
nest italian restaurants near me,0,1,0%,4
italian in hatch end,0,1,0%,5
itqlian near me,0,1,0%,5
pasta near by me,0,1,0%,5
dona ter,0,1,0%,6
hatch end high street restaurants,0,1,0%,7
pizza near me,0,1,0%,7
donna,0,1,0%,8
mexican restaurant hatch end,0,1,0%,8
restaurants hatch end high street,0,1,0%,8
restaurants in pinner town centre,0,1,0%,8
best restaurants hatch end,0,1,0%,9
food near me pasta,0,1,0%,9
restaurant in pinner,0,1,0%,9
dona italian restaurant,0,1,0%,10
italian restaurants in watford,0,1,0%,10
italian restaurant near uxbridge,0,1,0%,11
restaurant theresa,0,1,0%,11
best italian restaurant harrow,0,1,0%,12
best restaurants in pinner,0,1,0%,12
italian restaurants bushey,0,1,0%,12
italian restaurant near harrow,0,1,0%,13
best pasta in harrow,0,1,0%,14
christmas dinner harrow,0,1,0%,14
italian restaurant ruislip,0,1,0%,14
italian restaurants watford,0,1,0%,15
restaurants near hatch end,0,1,0%,15
italian in watford,0,1,0%,16
italian ruislip,0,1,0%,16
places to eat hatch end,0,1,0%,16
pasta restaurant harrow,0,1,0%,17
ruislip italian,0,1,0%,17
watford italian,0,1,0%,20
hatch end food,0,1,0%,23
hatch end resturants,0,1,0%,24
best restaurants near me,0,1,0%,25
sensi pinner,0,1,0%,26
papu miya hatch end,0,1,0%,28
dona onesta,0,1,0%,29
nice restaurants,0,1,0%,31
pizza hatch end,0,1,0%,33
food to eat near me,0,1,0%,36
italian in uxbridge,0,1,0%,37
christmas lunch,0,1,0%,42
afternoon tea pinner,0,1,0%,44
casa mia hatch end,0,1,0%,45
donna diner,0,1,0%,47
meat restaurant near me,0,1,0%,48
restaurants northwood,0,1,0%,49
harrow restaurants,0,1,0%,55
northwood restaurants,0,1,0%,62
italian crouch end,0,1,0%,65
doña teresa,0,1,0%,70
watford restaurants,0,1,0%,70
restaurants lunch near me,0,1,0%,76
kitchens pinner,0,1,0%,81
spinasse restaurant,0,1,0%,84
